W , 1 , 3 , 0 , 4 : RIGHT
W , 1 , 3 , 1 , 0 : NONE
W , 1 , 3 , 1 , 1 : SHOOT
W , 1 , 3 , 1 , 2 : SHOOT
W , 1 , 3 , 1 , 3 : STAY
W , 1 , 3 , 1 , 4 : SHOOT
W , 2 , 0 , 0 , 0 : NONE
W , 2 , 0 , 0 , 1 : RIGHT
W , 2 , 0 , 0 , 2 : RIGHT
W , 2 , 0 , 0 , 3 : RIGHT
W , 2 , 0 , 0 , 4 : RIGHT
W , 2 , 0 , 1 , 0 : NONE
W , 2 , 0 , 1 , 1 : RIGHT
W , 2 , 0 , 1 , 2 : RIGHT
W , 2 , 0 , 1 , 3 : RIGHT
W , 2 , 0 , 1 , 4 : RIGHT
W , 2 , 1 , 0 , 0 : NONE
W , 2 , 1 , 0 , 1 : RIGHT
W , 2 , 1 , 0 , 2 : RIGHT
W , 2 , 1 , 0 , 3 : RIGHT
W , 2 , 1 , 0 , 4 : RIGHT
W , 2 , 1 , 1 , 0 : NONE
W , 2 , 1 , 1 , 1 : STAY
W , 2 , 1 , 1 , 2 : SHOOT
W , 2 , 1 , 1 , 3 : RIGHT
W , 2 , 1 , 1 , 4 : RIGHT
W , 2 , 2 , 0 , 0 : NONE
W , 2 , 2 , 0 , 1 : RIGHT
W , 2 , 2 , 0 , 2 : RIGHT
W , 2 , 2 , 0 , 3 : RIGHT
W , 2 , 2 , 0 , 4 : RIGHT
W , 2 , 2 , 1 , 0 : NONE
W , 2 , 2 , 1 , 1 : SHOOT
W , 2 , 2 , 1 , 2 : STAY
W , 2 , 2 , 1 , 3 : SHOOT
W , 2 , 2 , 1 , 4 : RIGHT
W , 2 , 3 , 0 , 0 : NONE
W , 2 , 3 , 0 , 1 : SHOOT
W , 2 , 3 , 0 , 2 : RIGHT
W , 2 , 3 , 0 , 3 : RIGHT
W , 2 , 3 , 0 , 4 : RIGHT
W , 2 , 3 , 1 , 0 : NONE
W , 2 , 3 , 1 , 1 : SHOOT
W , 2 , 3 , 1 , 2 : SHOOT
W , 2 , 3 , 1 , 3 : STAY
W , 2 , 3 , 1 , 4 : SHOOT
E , 0 , 0 , 0 , 0 : NONE
E , 0 , 0 , 0 , 1 : HIT
E , 0 , 0 , 0 , 2 : HIT
E , 0 , 0 , 0 , 3 : HIT
E , 0 , 0 , 0 , 4 : HIT
E , 0 , 0 , 1 , 0 : NONE
E , 0 , 0 , 1 , 1 : HIT
E , 0 , 0 , 1 , 2 : HIT
E , 0 , 0 , 1 , 3 : HIT
E , 0 , 0 , 1 , 4 : HIT
E , 0 , 1 , 0 , 0 : NONE
E , 0 , 1 , 0 , 1 : SHOOT
E , 0 , 1 , 0 , 2 : SHOOT
E , 0 , 1 , 0 , 3 : SHOOT
E , 0 , 1 , 0 , 4 : HIT
E , 0 , 1 , 1 , 0 : NONE
E , 0 , 1 , 1 , 1 : SHOOT
E , 0 , 1 , 1 , 2 : SHOOT
E , 0 , 1 , 1 , 3 : SHOOT
E , 0 , 1 , 1 , 4 : HIT
E , 0 , 2 , 0 , 0 : NONE
E , 0 , 2 , 0 , 1 : SHOOT
E , 0 , 2 , 0 , 2 : SHOOT
E , 0 , 2 , 0 , 3 : SHOOT
E , 0 , 2 , 0 , 4 : HIT
E , 0 , 2 , 1 , 0 : NONE
E , 0 , 2 , 1 , 1 : SHOOT
E , 0 , 2 , 1 , 2 : SHOOT
E , 0 , 2 , 1 , 3 : SHOOT
E , 0 , 2 , 1 , 4 : HIT
E , 0 , 3 , 0 , 0 : NONE
E , 0 , 3 , 0 , 1 : SHOOT
E , 0 , 3 , 0 , 2 : SHOOT
E , 0 , 3 , 0 , 3 : SHOOT
E , 0 , 3 , 0 , 4 : SHOOT
E , 0 , 3 , 1 , 0 : NONE
E , 0 , 3 , 1 , 1 : SHOOT
E , 0 , 3 , 1 , 2 : SHOOT
E , 0 , 3 , 1 , 3 : SHOOT
E , 0 , 3 , 1 , 4 : HIT
E , 1 , 0 , 0 , 0 : NONE
E , 1 , 0 , 0 , 1 : HIT
E , 1 , 0 , 0 , 2 : HIT
E , 1 , 0 , 0 , 3 : HIT
E , 1 , 0 , 0 , 4 : HIT
E , 1 , 0 , 1 , 0 : NONE
E , 1 , 0 , 1 , 1 : HIT
E , 1 , 0 , 1 , 2 : HIT
E , 1 , 0 , 1 , 3 : HIT
E , 1 , 0 , 1 , 4 : HIT
E , 1 , 1 , 0 , 0 : NONE
E , 1 , 1 , 0 , 1 : SHOOT
E , 1 , 1 , 0 , 2 : SHOOT
E , 1 , 1 , 0 , 3 : SHOOT
E , 1 , 1 , 0 , 4 : HIT
E , 1 , 1 , 1 , 0 : NONE
E , 1 , 1 , 1 , 1 : SHOOT
E , 1 , 1 , 1 , 2 : SHOOT
E , 1 , 1 , 1 , 3 : SHOOT
E , 1 , 1 , 1 , 4 : HIT
E , 1 , 2 , 0 , 0 : NONE
E , 1 , 2 , 0 , 1 : SHOOT
E , 1 , 2 , 0 , 2 : SHOOT
E , 1 , 2 , 0 , 3 : SHOOT
E , 1 , 2 , 0 , 4 : HIT
E , 1 , 2 , 1 , 0 : NONE
E , 1 , 2 , 1 , 1 : SHOOT
E , 1 , 2 , 1 , 2 : SHOOT
E , 1 , 2 , 1 , 3 : SHOOT
E , 1 , 2 , 1 , 4 : HIT
E , 1 , 3 , 0 , 0 : NONE
E , 1 , 3 , 0 , 1 : SHOOT
E , 1 , 3 , 0 , 2 : SHOOT
E , 1 , 3 , 0 , 3 : SHOOT
E , 1 , 3 , 0 , 4 : SHOOT
E , 1 , 3 , 1 , 0 : NONE
E , 1 , 3 , 1 , 1 : SHOOT
E , 1 , 3 , 1 , 2 : SHOOT
E , 1 , 3 , 1 , 3 : SHOOT
E , 1 , 3 , 1 , 4 : HIT
E , 2 , 0 , 0 , 0 : NONE
E , 2 , 0 , 0 , 1 : HIT
E , 2 , 0 , 0 , 2 : HIT
E , 2 , 0 , 0 , 3 : HIT
E , 2 , 0 , 0 , 4 : HIT
E , 2 , 0 , 1 , 0 : NONE
E , 2 , 0 , 1 , 1 : HIT
E , 2 , 0 , 1 , 2 : HIT
E , 2 , 0 , 1 , 3 : HIT
E , 2 , 0 , 1 , 4 : HIT
E , 2 , 1 , 0 , 0 : NONE
E , 2 , 1 , 0 , 1 : SHOOT
E , 2 , 1 , 0 , 2 : SHOOT
E , 2 , 1 , 0 , 3 : SHOOT
E , 2 , 1 , 0 , 4 : HIT
E , 2 , 1 , 1 , 0 : NONE
E , 2 , 1 , 1 , 1 : SHOOT
E , 2 , 1 , 1 , 2 : SHOOT
E , 2 , 1 , 1 , 3 : SHOOT
E , 2 , 1 , 1 , 4 : HIT
E , 2 , 2 , 0 , 0 : NONE
E , 2 , 2 , 0 , 1 : SHOOT
E , 2 , 2 , 0 , 2 : SHOOT
E , 2 , 2 , 0 , 3 : SHOOT
E , 2 , 2 , 0 , 4 : HIT
E , 2 , 2 , 1 , 0 : NONE
E , 2 , 2 , 1 , 1 : SHOOT
E , 2 , 2 , 1 , 2 : SHOOT
E , 2 , 2 , 1 , 3 : SHOOT
E , 2 , 2 , 1 , 4 : HIT
E , 2 , 3 , 0 , 0 : NONE
E , 2 , 3 , 0 , 1 : SHOOT
E , 2 , 3 , 0 , 2 : SHOOT
E , 2 , 3 , 0 , 3 : SHOOT
E , 2 , 3 , 0 , 4 : SHOOT
E , 2 , 3 , 1 , 0 : NONE
E , 2 , 3 , 1 , 1 : SHOOT
E , 2 , 3 , 1 , 2 : SHOOT
E , 2 , 3 , 1 , 3 : SHOOT
E , 2 , 3 , 1 , 4 : HIT
